"filename", "language", "JavaScript", "YAML", "Dart", "Swift", "comment", "blank", "total"
"d:\Flutter_projects\technozia\lib\main-screens\login_screen.dart", "Dart", 0, 0, 2, 0, 0, -1, 1
"d:\Flutter_projects\technozia\lib\main-screens\signup_screen.dart", "Dart", 0, 0, 254, 0, 7, 4, 265
"d:\Flutter_projects\technozia\lib\main.dart", "Dart", 0, 0, 0, 0, -6, 0, -6
"d:\Flutter_projects\technozia\lib\models\achievement.dart", "Dart", 0, 0, 0, 0, 0, -1, -1
"d:\Flutter_projects\technozia\lib\models\duoRegistration.dart", "Dart", 0, 0, 55, 0, 1, 7, 63
"d:\Flutter_projects\technozia\lib\models\events.dart", "Dart", 0, 0, 8, 0, 7, 1, 16
"d:\Flutter_projects\technozia\lib\models\post.dart", "Dart", 0, 0, 32, 0, 1, 6, 39
"d:\Flutter_projects\technozia\lib\models\team_member.dart", "Dart", 0, 0, 36, 0, 0, 6, 42
"d:\Flutter_projects\technozia\lib\routes.dart", "Dart", 0, 0, 106, 0, 0, 0, 106
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\add_achievements_screen.dart", "Dart", 0, 0, 182, 0, 0, 10, 192
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\view_achievement.dart", "Dart", 0, 0, 54, 0, 2, 6, 62
"d:\Flutter_projects\technozia\lib\screens\admin-screens\add_achievements_screen.dart", "Dart", 0, 0, -172, 0, 0, -10, -182
"d:\Flutter_projects\technozia\lib\screens\admin-screens\home_screen.dart", "Dart", 0, 0, 44, 0, 0, 1, 45
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\add_post_screen.dart", "Dart", 0, 0, 82, 0, 1, 8, 91
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\view_post_screen.dart", "Dart", 0, 0, 53, 0, 2, 6, 61
"d:\Flutter_projects\technozia\lib\screens\admin-screens\users\view_users_screen.dart", "Dart", 0, 0, 50, 0, 0, 7, 57
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\home_screen.dart", "Dart", 0, 0, 14, 0, 0, 1, 15
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\coding_screen.dart", "Dart", 0, 0, 55, 0, 0, 4, 59
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\fast_typing.dart", "Dart", 0, 0, 55, 0, 0, 5, 60
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\gaming_screen.dart", "Dart", 0, 0, 23, 0, 0, 4, 27
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\it_manager_screen.dart", "Dart", 0, 0, 23, 0, 0, 4, 27
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\it_quiz_screen.dart", "Dart", 0, 0, 23, 0, 0, 4, 27
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\treasurehunt_screen.dart", "Dart", 0, 0, 23, 0, 0, 4, 27
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\web_design_screen.dart", "Dart", 0, 0, 23, 0, 0, 4, 27
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events_screen.dart", "Dart", 0, 0, 127, 0, 38, 6, 171
"d:\Flutter_projects\technozia\lib\screens\participant-screens\home_screen.dart", "Dart", 0, 0, 61, 0, 2, 2, 65
"d:\Flutter_projects\technozia\lib\screens\participant-screens\profile\user_profile.dart", "Dart", 0, 0, 103, 0, 0, 8, 111
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\registration.dart", "Dart", 0, 0, 192, 0, 9, 12, 213
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\view_registration.dart", "Dart", 0, 0, 63, 0, 0, 7, 70
"d:\Flutter_projects\technozia\lib\screens\participant-screens\team-profile\team_profile_screen.dart", "Dart", 0, 0, 124, 0, 45, 9, 178
"d:\Flutter_projects\technozia\lib\services\auth_services.dart", "Dart", 0, 0, 211, 0, 6, 6, 223
"d:\Flutter_projects\technozia\lib\services\participant_services.dart", "Dart", 0, 0, 75, 0, 0, 7, 82
"d:\Flutter_projects\technozia\lib\services\registration_services.dart", "Dart", 0, 0, 86, 0, 0, 6, 92
"d:\Flutter_projects\technozia\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 2, 0, 0, 2
"d:\Flutter_projects\technozia\pubspec.yaml", "YAML", 0, 4, 0, 0, 0, 0, 4
"d:\Flutter_projects\technozia\server\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 10
"d:\Flutter_projects\technozia\server\middlewares\admin.js", "JavaScript", 28, 0, 0, 0, 0, 5, 33
"d:\Flutter_projects\technozia\server\middlewares\core_team.js", "JavaScript", 28, 0, 0, 0, 0, 5, 33
"d:\Flutter_projects\technozia\server\models\achievement.js", "JavaScript", 33, 0, 0, 0, 1, 4, 38
"d:\Flutter_projects\technozia\server\models\duo_registrations.js", "JavaScript", 63, 0, 0, 0, 0, 3, 66
"d:\Flutter_projects\technozia\server\models\post.js", "JavaScript", 23, 0, 0, 0, 0, 3, 26
"d:\Flutter_projects\technozia\server\models\team_members.js", "JavaScript", 36, 0, 0, 0, 0, 3, 39
"d:\Flutter_projects\technozia\server\routes\achievement.js", "JavaScript", 31, 0, 0, 0, 0, 5, 36
"d:\Flutter_projects\technozia\server\routes\auth.js", "JavaScript", 8, 0, 0, 0, 0, 3, 11
"d:\Flutter_projects\technozia\server\routes\duo_registartion.js", "JavaScript", 47, 0, 0, 0, 0, 6, 53
"d:\Flutter_projects\technozia\server\routes\post.js", "JavaScript", 27, 0, 0, 0, 0, 5, 32
"d:\Flutter_projects\technozia\server\routes\team_member.js", "JavaScript", 30, 0, 0, 0, 0, 6, 36
"d:\Flutter_projects\technozia\server\routes\user.js", "JavaScript", 13, 0, 0, 0, 0, 4, 17
"Total", "-", 377, 4, 2067, 2, 116, 195, 2761
