"filename", "language", "YAML", "JavaScript", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\technozia\lib\constants\global_variables.dart", "Dart", 0, 0, 4, 0, 2, 6
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\coding_screen.dart", "Dart", 0, 0, 545, 0, 2, 547
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\fast_typing.dart", "Dart", 0, 0, 545, 0, 1, 546
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\gaming_screen.dart", "Dart", 0, 0, 617, 0, 2, 619
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\it_manager_screen.dart", "Dart", 0, 0, 597, 0, 2, 599
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\it_quiz_screen.dart", "Dart", 0, 0, 537, 0, 2, 539
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\treasurehunt_screen.dart", "Dart", 0, 0, 535, 0, 2, 537
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\web_design_screen.dart", "Dart", 0, 0, 617, 0, 2, 619
"d:\Flutter_projects\technozia\lib\screens\participant-screens\items\team_member_item.dart", "Dart", 0, 0, 12, 0, 1, 13
"d:\Flutter_projects\technozia\lib\screens\participant-screens\original_home.dart", "Dart", 0, 0, 0, -3, -1, -4
"d:\Flutter_projects\technozia\lib\screens\participant-screens\profile\user_profile.dart", "Dart", 0, 0, 93, 3, 0, 96
"d:\Flutter_projects\technozia\lib\screens\participant-screens\team-profile\team_profile_screen.dart", "Dart", 0, 0, 27, 0, 0, 27
"d:\Flutter_projects\technozia\lib\services\participant_services.dart", "Dart", 0, 0, 24, 2, 3, 29
"d:\Flutter_projects\technozia\pubspec.yaml", "YAML", 1, 0, 0, 0, 0, 1
"d:\Flutter_projects\technozia\server\routes\team_member.js", "JavaScript", 0, 9, 0, -21, -1, -13
"Total", "-", 1, 9, 4153, -19, 17, 4161
