"filename", "language", "JavaScript", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\technozia\lib\models\duoRegistration.dart", "Dart", 0, 12, 0, 0, 12
"d:\Flutter_projects\technozia\lib\models\post.dart", "Dart", 0, 3, 0, 1, 4
"d:\Flutter_projects\technozia\lib\routes.dart", "Dart", 0, 18, 0, 0, 18
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\add_achievements_screen.dart", "Dart", 0, 121, 0, 0, 121
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\view_achievement.dart", "Dart", 0, 150, 2, 1, 153
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\add_post_screen.dart", "Dart", 0, 77, 5, 0, 82
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\view_post_screen.dart", "Dart", 0, 97, 3, 2, 102
"d:\Flutter_projects\technozia\lib\screens\admin-screens\registrations\view_registrations.dart", "Dart", 0, -1, 0, 0, -1
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\it_manager_screen.dart", "Dart", 0, 1, 0, 0, 1
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\five_registration.dart", "Dart", 0, 501, 0, 10, 511
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\registration.dart", "Dart", 0, 187, -9, -1, 177
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\single_registration.dart", "Dart", 0, 340, 0, 11, 351
"d:\Flutter_projects\technozia\lib\services\auth_services.dart", "Dart", 0, 31, 2, 1, 34
"d:\Flutter_projects\technozia\lib\services\registration_services.dart", "Dart", 0, 7, 0, 0, 7
"d:\Flutter_projects\technozia\server\models\duo_registrations.js", "JavaScript", 15, 0, 0, 0, 15
"d:\Flutter_projects\technozia\server\models\post.js", "JavaScript", 5, 0, 0, 0, 5
"d:\Flutter_projects\technozia\server\routes\auth.js", "JavaScript", 10, 0, 0, -1, 9
"d:\Flutter_projects\technozia\server\routes\duo_registartion.js", "JavaScript", 5, 0, 0, 0, 5
"d:\Flutter_projects\technozia\server\routes\post.js", "JavaScript", 1, 0, 0, 0, 1
"Total", "-", 36, 1544, 3, 24, 1607
