"filename", "language", "JavaScript", "YAML", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\technozia\lib\main-screens\signup_screen.dart", "Dart", 0, 0, -1, 0, 0, -1
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\view_achievement.dart", "Dart", 0, 0, -1, 0, 0, -1
"d:\Flutter_projects\technozia\lib\screens\admin-screens\registrations\view_registrations.dart", "Dart", 0, 0, -1, 0, 0, -1
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\coding_screen.dart", "Dart", 0, 0, 0, 1, 1, 2
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\fast_typing.dart", "Dart", 0, 0, 0, 1, 1, 2
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\it_manager_screen.dart", "Dart", 0, 0, -1, 0, 0, -1
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events_screen.dart", "Dart", 0, 0, -9, -1, 1, -9
"d:\Flutter_projects\technozia\lib\screens\participant-screens\home_screen.dart", "Dart", 0, 0, -10, -2, 0, -12
"d:\Flutter_projects\technozia\lib\screens\participant-screens\items\team_member_item.dart", "Dart", 0, 0, -1, 0, 0, -1
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\five_registration.dart", "Dart", 0, 0, -2, 0, 0, -2
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\single_registration.dart", "Dart", 0, 0, -2, 0, 0, -2
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\view_registration.dart", "Dart", 0, 0, -4, 0, 0, -4
"d:\Flutter_projects\technozia\lib\screens\participant-screens\team-profile\team_profile_screen.dart", "Dart", 0, 0, -3, 0, 0, -3
"d:\Flutter_projects\technozia\lib\services\auth_services.dart", "Dart", 0, 0, -8, -3, -1, -12
"d:\Flutter_projects\technozia\lib\services\participant_services.dart", "Dart", 0, 0, -2, 0, 0, -2
"d:\Flutter_projects\technozia\lib\services\registration_services.dart", "Dart", 0, 0, -1, 1, 1, 1
"d:\Flutter_projects\technozia\pubspec.yaml", "YAML", 0, 1, 0, 0, 0, 1
"d:\Flutter_projects\technozia\server\index.js", "JavaScript", 2, 0, 0, 0, 0, 2
"d:\Flutter_projects\technozia\server\routes\duo_registartion.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\Flutter_projects\technozia\server\routes\reports.js", "JavaScript", 65, 0, 0, 5, 9, 79
"Total", "-", 67, 1, -46, 2, 13, 37
