"filename", "language", "JavaScript", "JSON", "HTML", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\technozia\lib\models\achievement.dart", "Dart", 0, 0, 0, 3, 0, -1, 2
"d:\Flutter_projects\technozia\lib\models\post.dart", "Dart", 0, 0, 0, 4, 0, 0, 4
"d:\Flutter_projects\technozia\lib\models\volunteer.dart", "Dart", 0, 0, 0, 34, 1, 7, 42
"d:\Flutter_projects\technozia\lib\routes.dart", "Dart", 0, 0, 0, 50, 0, 1, 51
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\participant_achievement.dart", "Dart", 0, 0, 0, 189, 4, 7, 200
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\view_update_achievement.dart", "Dart", 0, 0, 0, 231, 7, 9, 247
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\edit_post_screen.dart", "Dart", 0, 0, 0, 165, 7, 6, 178
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\view_post_screen.dart", "Dart", 0, 0, 0, 7, -5, -1, 1
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\view_update_post.dart", "Dart", 0, 0, 0, 176, 0, 8, 184
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, -1, -1
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\original_core_home.dart", "Dart", 0, 0, 0, 8, 0, 0, 8
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\volunteers\add_volunteer_screen.dart", "Dart", 0, 0, 0, 196, 6, 8, 210
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\volunteers\edit_delete_volunteer_screen.dart", "Dart", 0, 0, 0, 263, 12, 11, 286
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\volunteers\view_volunteer_screen.dart", "Dart", 0, 0, 0, 199, 0, 9, 208
"d:\Flutter_projects\technozia\lib\screens\participant-screens\items\team_member_item.dart", "Dart", 0, 0, 0, 24, 0, 0, 24
"d:\Flutter_projects\technozia\lib\screens\participant-screens\original_home.dart", "Dart", 0, 0, 0, 5, 1, 0, 6
"d:\Flutter_projects\technozia\lib\screens\participant-screens\profile\user_profile.dart", "Dart", 0, 0, 0, 13, 0, 1, 14
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\five_registration.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\registration.dart", "Dart", 0, 0, 0, 0, 0, 1, 1
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\view_registration.dart", "Dart", 0, 0, 0, -3, 36, 0, 33
"d:\Flutter_projects\technozia\lib\screens\participant-screens\team-profile\team_profile_screen.dart", "Dart", 0, 0, 0, 22, -44, 1, -21
"d:\Flutter_projects\technozia\lib\services\auth_services.dart", "Dart", 0, 0, 0, 86, 1, 4, 91
"d:\Flutter_projects\technozia\lib\services\volunteer_services.dart", "Dart", 0, 0, 0, 135, 5, 12, 152
"d:\Flutter_projects\technozia\server\generatePdf.js", "JavaScript", 46, 0, 0, 0, 7, 9, 62
"d:\Flutter_projects\technozia\server\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 3
"d:\Flutter_projects\technozia\server\models\volunteer.js", "JavaScript", 25, 0, 0, 0, 0, 4, 29
"d:\Flutter_projects\technozia\server\package-lock.json", "JSON", 0, 1478, 0, 0, 0, 0, 1478
"d:\Flutter_projects\technozia\server\package.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"d:\Flutter_projects\technozia\server\routes\achievement.js", "JavaScript", 9, 0, 0, 0, 0, 2, 11
"d:\Flutter_projects\technozia\server\routes\duo_registartion.js", "JavaScript", 24, 0, 0, 0, 16, 5, 45
"d:\Flutter_projects\technozia\server\routes\post.js", "JavaScript", 27, 0, 0, 0, 0, 6, 33
"d:\Flutter_projects\technozia\server\routes\volunteer.js", "JavaScript", 59, 0, 0, 0, 0, 10, 69
"d:\Flutter_projects\technozia\server\template.html", "HTML", 0, 0, 66, 0, 0, 1, 67
"Total", "-", 193, 1479, 66, 1807, 54, 120, 3719
