"filename", "language", "C++", "CMake", "YAML", "JSON", "Swift", "Markdown", "Dart", "JavaScript", "HTML", "XML", "Properties", "Gradle", "comment", "blank", "total"
"d:\Flutter_projects\technozia\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Flutter_projects\technozia\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\Flutter_projects\technozia\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 5, 13, 72
"d:\Flutter_projects\technozia\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"d:\Flutter_projects\technozia\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 6, 1, 35
"d:\Flutter_projects\technozia\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Flutter_projects\technozia\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Flutter_projects\technozia\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Flutter_projects\technozia\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Flutter_projects\technozia\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"d:\Flutter_projects\technozia\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"d:\Flutter_projects\technozia\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Flutter_projects\technozia\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Flutter_projects\technozia\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"d:\Flutter_projects\technozia\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Flutter_projects\technozia\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Flutter_projects\technozia\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Flutter_projects\technozia\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Flutter_projects\technozia\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\Flutter_projects\technozia\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\Flutter_projects\technozia\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Flutter_projects\technozia\lib\constants\error_handling.dart", "Dart", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"d:\Flutter_projects\technozia\lib\constants\global_variables.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"d:\Flutter_projects\technozia\lib\constants\utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"d:\Flutter_projects\technozia\lib\main-screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 3, 6, 61
"d:\Flutter_projects\technozia\lib\main-screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 2, 7, 222
"d:\Flutter_projects\technozia\lib\main-screens\signup_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 389, 0, 0, 0, 0, 0, 7, 11, 407
"d:\Flutter_projects\technozia\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 7, 76
"d:\Flutter_projects\technozia\lib\models\achievement.dart", "Dart", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 6, 52
"d:\Flutter_projects\technozia\lib\models\duoRegistration.dart", "Dart", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 1, 7, 75
"d:\Flutter_projects\technozia\lib\models\events.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 7, 1, 16
"d:\Flutter_projects\technozia\lib\models\options.dart", "Dart", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 1, 12
"d:\Flutter_projects\technozia\lib\models\post.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 7, 47
"d:\Flutter_projects\technozia\lib\models\team_member.dart", "Dart", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 6, 47
"d:\Flutter_projects\technozia\lib\models\user.dart", "Dart", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 6, 55
"d:\Flutter_projects\technozia\lib\models\volunteer.dart", "Dart", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 7, 42
"d:\Flutter_projects\technozia\lib\providers\team_members_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"d:\Flutter_projects\technozia\lib\providers\user_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"d:\Flutter_projects\technozia\lib\routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 3, 257
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\add_achievements_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 0, 0, 10, 313
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\participant_achievement.dart", "Dart", 0, 0, 0, 0, 0, 0, 189, 0, 0, 0, 0, 0, 4, 7, 200
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\view_achievement.dart", "Dart", 0, 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 4, 7, 214
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\view_update_achievement.dart", "Dart", 0, 0, 0, 0, 0, 0, 231, 0, 0, 0, 0, 0, 7, 9, 247
"d:\Flutter_projects\technozia\lib\screens\admin-screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 379, 0, 0, 0, 0, 0, 4, 12, 395
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\add_post_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 6, 8, 173
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\edit_post_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 165, 0, 0, 0, 0, 0, 7, 6, 178
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\view_post_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 7, 164
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\view_update_post.dart", "Dart", 0, 0, 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 8, 184
"d:\Flutter_projects\technozia\lib\screens\admin-screens\registrations\view_registrations.dart", "Dart", 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 9, 208
"d:\Flutter_projects\technozia\lib\screens\admin-screens\users\view_users_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 185, 0, 0, 0, 0, 0, 1, 7, 193
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 8, 73
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\original_core_home.dart", "Dart", 0, 0, 0, 0, 0, 0, 362, 0, 0, 0, 0, 0, 6, 16, 384
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\volunteers\add_volunteer_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 6, 8, 210
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\volunteers\edit_delete_volunteer_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 263, 0, 0, 0, 0, 0, 12, 11, 286
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\volunteers\view_volunteer_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 9, 208
"d:\Flutter_projects\technozia\lib\screens\member-screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 8, 66
"d:\Flutter_projects\technozia\lib\screens\member-screens\member_proflie_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 3, 8, 207
"d:\Flutter_projects\technozia\lib\screens\member-screens\original_member_home.dart", "Dart", 0, 0, 0, 0, 0, 0, 274, 0, 0, 0, 0, 0, 2, 8, 284
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\coding_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 600, 0, 0, 0, 0, 0, 1, 7, 608
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\fast_typing.dart", "Dart", 0, 0, 0, 0, 0, 0, 600, 0, 0, 0, 0, 0, 1, 7, 608
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\gaming_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 640, 0, 0, 0, 0, 0, 0, 6, 646
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\it_manager_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 620, 0, 0, 0, 0, 0, 0, 6, 626
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\it_quiz_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 560, 0, 0, 0, 0, 0, 0, 6, 566
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\treasurehunt_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 558, 0, 0, 0, 0, 0, 0, 6, 564
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\web_design_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 640, 0, 0, 0, 0, 0, 0, 6, 646
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 29, 14, 154
"d:\Flutter_projects\technozia\lib\screens\participant-screens\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 28, 9, 121
"d:\Flutter_projects\technozia\lib\screens\participant-screens\items\team_member_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 134, 7, 324
"d:\Flutter_projects\technozia\lib\screens\participant-screens\original_home.dart", "Dart", 0, 0, 0, 0, 0, 0, 450, 0, 0, 0, 0, 0, 15, 15, 480
"d:\Flutter_projects\technozia\lib\screens\participant-screens\profile\user_profile.dart", "Dart", 0, 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 3, 9, 221
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\five_registration.dart", "Dart", 0, 0, 0, 0, 0, 0, 499, 0, 0, 0, 0, 0, 0, 11, 510
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\registration.dart", "Dart", 0, 0, 0, 0, 0, 0, 379, 0, 0, 0, 0, 0, 0, 12, 391
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\single_registration.dart", "Dart", 0, 0, 0, 0, 0, 0, 338, 0, 0, 0, 0, 0, 0, 11, 349
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\view_registration.dart", "Dart", 0, 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 39, 7, 264
"d:\Flutter_projects\technozia\lib\screens\participant-screens\team-profile\team_profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 0, 9, 11, 282
"d:\Flutter_projects\technozia\lib\services\auth_services.dart", "Dart", 0, 0, 0, 0, 0, 0, 499, 0, 0, 0, 0, 0, 12, 32, 543
"d:\Flutter_projects\technozia\lib\services\participant_services.dart", "Dart", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 4, 13, 152
"d:\Flutter_projects\technozia\lib\services\registration_services.dart", "Dart", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 1, 8, 129
"d:\Flutter_projects\technozia\lib\services\volunteer_services.dart", "Dart", 0, 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 5, 12, 152
"d:\Flutter_projects\technozia\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"d:\Flutter_projects\technozia\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Flutter_projects\technozia\linux\flutter\generated_plugins.cmake", "CMake", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\Flutter_projects\technozia\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Flutter_projects\technozia\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Flutter_projects\technozia\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Flutter_projects\technozia\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"d:\Flutter_projects\technozia\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\Flutter_projects\technozia\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\Flutter_projects\technozia\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"d:\Flutter_projects\technozia\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Flutter_projects\technozia\pubspec.yaml", "YAML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 13, 107
"d:\Flutter_projects\technozia\server\generatePdf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 7, 9, 62
"d:\Flutter_projects\technozia\server\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"d:\Flutter_projects\technozia\server\middlewares\admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"d:\Flutter_projects\technozia\server\middlewares\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"d:\Flutter_projects\technozia\server\middlewares\core_team.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"d:\Flutter_projects\technozia\server\models\achievement.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 1, 4, 38
"d:\Flutter_projects\technozia\server\models\duo_registrations.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 3, 81
"d:\Flutter_projects\technozia\server\models\post.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"d:\Flutter_projects\technozia\server\models\team_members.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
"d:\Flutter_projects\technozia\server\models\user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 1, 3, 44
"d:\Flutter_projects\technozia\server\models\volunteer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"d:\Flutter_projects\technozia\server\package-lock.json", "JSON", 0, 0, 0, 3736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3737
"d:\Flutter_projects\technozia\server\package.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Flutter_projects\technozia\server\routes\achievement.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 7, 47
"d:\Flutter_projects\technozia\server\routes\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 17, 101
"d:\Flutter_projects\technozia\server\routes\duo_registartion.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 16, 13, 113
"d:\Flutter_projects\technozia\server\routes\post.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 11, 66
"d:\Flutter_projects\technozia\server\routes\reports.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 5, 9, 72
"d:\Flutter_projects\technozia\server\routes\team_member.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 11, 72
"d:\Flutter_projects\technozia\server\routes\user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"d:\Flutter_projects\technozia\server\routes\volunteer.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 10, 69
"d:\Flutter_projects\technozia\server\template.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 1, 67
"d:\Flutter_projects\technozia\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Flutter_projects\technozia\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"d:\Flutter_projects\technozia\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Flutter_projects\technozia\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"d:\Flutter_projects\technozia\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Flutter_projects\technozia\windows\flutter\generated_plugins.cmake", "CMake", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\Flutter_projects\technozia\windows\runner\flutter_window.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"d:\Flutter_projects\technozia\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Flutter_projects\technozia\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Flutter_projects\technozia\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
