"filename", "language", "Dart", "JavaScript", "comment", "blank", "total"
"d:\Flutter_projects\technozia\lib\constants\global_variables.dart", "Dart", 5, 0, 0, 0, 5
"d:\Flutter_projects\technozia\lib\main-screens\login_screen.dart", "Dart", 18, 0, 0, 0, 18
"d:\Flutter_projects\technozia\lib\models\options.dart", "Dart", 1, 0, 0, 1, 2
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\add_achievements_screen.dart", "Dart", 6, 0, 0, 0, 6
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\view_achievement.dart", "Dart", 17, 0, 0, 0, 17
"d:\Flutter_projects\technozia\lib\screens\admin-screens\achievements\view_update_achievement.dart", "Dart", 18, 0, 0, -1, 17
"d:\Flutter_projects\technozia\lib\screens\admin-screens\home_screen.dart", "Dart", 181, 0, 5, 3, 189
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\add_post_screen.dart", "Dart", 9, 0, -6, 0, 3
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\edit_post_screen.dart", "Dart", 4, 0, 0, 0, 4
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\view_post_screen.dart", "Dart", 13, 0, 0, 0, 13
"d:\Flutter_projects\technozia\lib\screens\admin-screens\posts\view_update_post.dart", "Dart", 20, 0, 0, 0, 20
"d:\Flutter_projects\technozia\lib\screens\admin-screens\registrations\view_registrations.dart", "Dart", 17, 0, 0, 0, 17
"d:\Flutter_projects\technozia\lib\screens\admin-screens\users\modify_user_role_screen.dart", "Dart", 43, 0, 0, 7, 50
"d:\Flutter_projects\technozia\lib\screens\admin-screens\users\view_users_screen.dart", "Dart", 9, 0, 0, 0, 9
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\original_core_home.dart", "Dart", -5, 0, 0, 0, -5
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\volunteers\add_volunteer_screen.dart", "Dart", 12, 0, -6, 0, 6
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\volunteers\edit_delete_volunteer_screen.dart", "Dart", 7, 0, 0, 0, 7
"d:\Flutter_projects\technozia\lib\screens\coreteam-screens\volunteers\view_volunteer_screen.dart", "Dart", 15, 0, 0, 0, 15
"d:\Flutter_projects\technozia\lib\screens\member-screens\home_screen.dart", "Dart", -1, 0, 0, 0, -1
"d:\Flutter_projects\technozia\lib\screens\member-screens\member_proflie_screen.dart", "Dart", 11, 0, 0, 0, 11
"d:\Flutter_projects\technozia\lib\screens\member-screens\original_member_home.dart", "Dart", 15, 0, 0, 0, 15
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events\it_quiz_screen.dart", "Dart", 7, 0, 0, 0, 7
"d:\Flutter_projects\technozia\lib\screens\participant-screens\events_screen.dart", "Dart", -111, 0, -29, -14, -154
"d:\Flutter_projects\technozia\lib\screens\participant-screens\original_home.dart", "Dart", 11, 0, -1, -1, 9
"d:\Flutter_projects\technozia\lib\screens\participant-screens\profile\user_profile.dart", "Dart", 1, 0, -2, 0, -1
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\five_registration.dart", "Dart", 0, 0, 0, -1, -1
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\registration.dart", "Dart", 1, 0, 0, 0, 1
"d:\Flutter_projects\technozia\lib\screens\participant-screens\registration\view_registration.dart", "Dart", 6, 0, -38, 0, -32
"d:\Flutter_projects\technozia\lib\screens\participant-screens\team-profile\team_profile_screen.dart", "Dart", 1, 0, -1, 0, 0
"d:\Flutter_projects\technozia\lib\services\auth_services.dart", "Dart", 9, 0, 2, 1, 12
"d:\Flutter_projects\technozia\lib\services\volunteer_services.dart", "Dart", 2, 0, -1, 0, 1
"d:\Flutter_projects\technozia\server\routes\duo_registartion.js", "JavaScript", 0, 17, -10, 3, 10
"d:\Flutter_projects\technozia\server\routes\reports.js", "JavaScript", 0, 3, 0, 0, 3
"Total", "-", 342, 20, -87, -2, 273
